Baseline,Background,SiO2,Dolomite,Observed,Difference
30.6257,543.09,558.74,765.86,762,-19.51
30.6758,542.4,557.71,856.22,918,46.47
30.7259,541.71,556.69,1005.31,1026,5.72
30.7761,541.01,555.67,1259.49,1461,186.85
30.8262,540.32,554.67,1685.29,1769,69.37
30.8764,539.62,553.68,2196.89,2029,-181.94
30.9265,538.92,552.7,2336.38,2282,-68.16
30.9766,538.22,551.73,2046.38,2220,160.12
31.0268,537.51,550.76,1579.51,1635,42.24
31.0769,536.81,549.81,1187.41,1236,35.59
31.127,536.1,548.86,951.7,916,-48.45
31.1772,535.39,547.91,817.05,694,-135.58
31.2273,534.69,546.99,736.38,662,-86.68
31.2774,533.98,546.07,684.96,660,-37.05
31.3276,533.26,545.14,650.33,634,-28.21
31.3777,532.55,544.24,625.9,639,1.42
31.4279,531.84,543.34,607.99,549,-70.48
31.478,531.12,542.43,594.41,584,-21.72
31.5281,530.4,541.54,583.84,565,-29.98
31.5783,529.69,540.66,575.42,566,-20.38
31.6284,528.97,539.78,568.56,584,4.64
31.6785,528.25,538.9,562.89,608,34.46
31.7287,527.53,538.03,558.13,635,66.38
31.7788,526.8,537.16,554.03,585,20.61
31.829,526.08,536.3,550.43,515,-45.66
31.8791,525.36,535.45,547.27,553,-4.36
31.9292,524.63,534.59,544.46,559,4.57
31.9794,523.91,533.75,541.97,566,14.19
32.0295,523.18,532.91,539.7,571,21.57
32.0796,522.46,532.08,537.63,503,-44.25
32.1298,521.73,531.24,535.73,515,-30.24
32.1799,521,530.41,533.97,522,-21.38
32.2301,520.27,529.58,532.32,501,-40.64
32.2802,519.54,528.76,530.79,447,-93.02
32.3303,518.82,527.96,529.35,533,-5.49
32.3805,518.09,527.15,527.99,511,-26.04
32.4306,517.36,526.34,526.69,489,-46.67
32.4807,516.63,525.54,525.46,513,-21.36
32.5309,515.9,524.74,524.28,498,-35.12
32.581,515.17,523.95,523.16,499,-32.93
32.6312,514.43,523.16,522.08,461,-69.82
32.6813,513.7,522.45,521.05,498,-31.81
32.7314,512.97,521.86,520.08,504,-24.97
32.7816,512.24,521.55,519.15,524,-4.46
