ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
H18-3833,FlakeFrag,,Distal,0%,,,,2,2.71,21.66,,,,,,
H18-3839,Core,,,1-30%,,,,,10.51,37.6,21.05,Plain,0%,5,AngleLoss,
H18-3858,RetouchedPiece,,,0%,,Crushed,No,4,7.62,8.47,27.1,,,,,Burin
H18-3872,Flake,,,0%,,Dihedral,No,4,6.4,15.9,23.4,,,,,
H18-3891,Flake,,,0%,,Plain,No,6,9.1,21.6,26.5,,,,,
H18-3905,Flake,,,0%,,Plain,No,2,2.9,21.1,16.7,,,,,
H18-3920,FlakeFrag,,Distal,0%,,,,2,6.3,24.99,,,,,,
H18-3955,Flake,,,0%,,Plain,No,5,7,17.5,26.5,,,,,
H18-3962,ElongBlank,,,1-30%,LeftLateral,Plain,No,3,7.12,12.96,28.41,,,,,
H18-3971,Flake,,,1-30%,RightLateral,Plain,No,5,9.3,31.6,36.6,,,,,
H18-3999,RetouchedPiece,,,1-30%,LeftLateral,Crushed,No,3,10.78,20.56,25.3,,,,,Splintered piece
H18-4002,Core,,,1-30%,,,,,13.7,20.5,20.3,Plain,0%,7,AngleLoss,
H18-4007,RetouchedPiece,,,0%,,Removed,,7,4.94,14.43,23.71,,,,,Burin
H18-4016,Shatter,,,0%,,,,,,,,,,,,
