Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
29.6731,775,644.57,609.89,1.85,32.83,611.74,642.72
29.7232,649,642.96,609.08,2,31.88,611.08,640.96
29.7733,678,641.41,608.26,2.17,30.98,610.43,639.24
29.8235,711,639.92,607.44,2.35,30.13,609.79,637.57
29.8736,653,638.49,606.61,2.57,29.31,609.18,635.92
29.9237,637,637.14,605.79,2.81,28.54,608.6,634.33
29.9739,618,635.85,604.96,3.09,27.8,608.05,632.76
30.024,584,634.63,604.12,3.42,27.09,607.54,631.21
30.0742,667,633.49,603.28,3.8,26.4,607.08,629.68
30.1243,662,632.45,602.44,4.26,25.74,606.7,628.18
30.1744,632,631.52,601.6,4.82,25.1,606.42,626.7
30.2246,636,630.74,600.76,5.51,24.47,606.27,625.23
30.2747,624,630.08,599.91,6.31,23.86,606.22,623.77
30.3248,615,629.57,599.06,7.26,23.26,606.32,622.32
30.375,657,629.36,598.2,8.48,22.68,606.68,620.88
30.4251,654,629.54,597.35,10.06,22.13,607.41,619.48
30.4753,647,630.24,596.49,12.15,21.6,608.64,618.09
30.5254,669,631.69,595.63,14.97,21.1,610.6,616.73
30.5755,606,634.3,594.77,18.92,20.61,613.69,615.38
30.6257,682,638.75,593.9,24.7,20.15,618.6,614.05
30.6758,690,646.35,593.03,33.62,19.7,626.65,612.73
30.7259,644,659.75,592.16,48.31,19.27,640.47,611.43
30.7761,708,684.46,591.29,74.31,18.86,665.6,610.15
30.8262,725,731.91,590.42,123.03,18.47,713.45,608.89
30.8764,846,834.12,589.54,226.49,18.09,816.03,607.63
30.9265,1089,1062.18,588.67,455.79,17.72,1044.46,606.39
30.9766,1285,1222.72,587.79,617.55,17.38,1205.34,605.17
31.0268,1155,1108.33,586.91,504.38,17.04,1091.29,603.95
31.0769,969,928.66,586.02,325.92,16.72,911.94,602.74
31.127,770,763.53,585.14,161.98,16.41,747.12,601.55
31.1772,707,688.7,584.26,88.34,16.11,672.6,600.37
31.2273,655,653.99,583.37,54.8,15.82,638.17,599.19
31.2774,598,635.26,582.48,37.24,15.54,619.72,598.02
31.3276,610,623.82,581.59,26.96,15.28,608.55,596.87
31.3777,581,616.15,580.7,20.43,15.02,601.13,595.72
31.4279,655,610.6,579.81,16.02,14.78,595.83,594.59
31.478,623,606.36,578.91,12.91,14.54,591.82,593.45
31.5281,600,602.96,578.02,10.63,14.31,588.65,592.33
31.5783,566,600.13,577.12,8.91,14.09,586.03,591.21
31.6284,590,597.69,576.23,7.58,13.88,583.81,590.11
31.6785,574,595.55,575.33,6.54,13.68,581.87,589.01
31.7287,608,593.63,574.43,5.71,13.49,580.14,587.92
31.7788,581,591.88,573.53,5.05,13.3,578.58,586.83
31.829,600,590.28,572.63,4.53,13.12,577.16,585.75
31.8791,590,588.72,571.73,4.04,12.95,575.77,584.68
31.9292,584,587.23,570.83,3.61,12.79,574.44,583.62
31.9794,664,585.82,569.93,3.26,12.63,573.19,582.56
32.0295,669,584.47,569.03,2.96,12.48,571.99,581.51
32.0796,644,583.17,568.12,2.71,12.34,570.83,580.46
32.1298,584,581.91,567.22,2.49,12.2,569.71,579.42
32.1799,596,580.69,566.32,2.31,12.07,568.63,578.39
32.2301,582,579.5,565.41,2.14,11.94,567.55,577.35
32.2802,618,578.33,564.51,2,11.83,566.51,576.34
32.3303,584,577.19,563.6,1.87,11.71,565.47,575.31
32.3805,608,576.07,562.7,1.76,11.61,564.46,574.31
32.4306,578,574.96,561.79,1.66,11.5,563.45,573.29
32.4807,515,573.88,560.89,1.58,11.41,562.47,572.3
32.5309,560,572.81,559.98,1.51,11.32,561.49,571.3
32.581,559,571.76,559.08,1.44,11.23,560.52,570.31
