Angle,Observed,Calculated,Background,Quartz_nb,Quartz
31.1772,523,536.98,520.23,16.74,536.97
31.2273,516,535.99,519.54,16.45,535.99
31.2774,557,535.01,518.84,16.16,535
31.3276,529,534.03,518.15,15.89,534.04
31.3777,541,533.07,517.45,15.62,533.07
31.4279,549,532.12,516.75,15.37,532.12
31.478,535,531.18,516.05,15.13,531.18
31.5281,565,530.24,515.35,14.89,530.24
31.5783,495,529.32,514.65,14.67,529.32
31.6284,523,528.4,513.95,14.45,528.4
31.6785,490,527.49,513.25,14.24,527.49
31.7287,561,526.59,512.54,14.04,526.58
31.7788,489,525.69,511.84,13.85,525.69
31.829,513,524.8,511.13,13.67,524.8
31.8791,522,523.92,510.43,13.49,523.92
31.9292,508,523.05,509.72,13.32,523.04
31.9794,519,522.18,509.02,13.16,522.18
32.0295,512,521.32,508.31,13.01,521.32
32.0796,524,520.46,507.6,12.86,520.46
32.1298,513,519.62,506.9,12.72,519.62
32.1799,483,518.77,506.19,12.59,518.78
32.2301,499,517.94,505.48,12.46,517.94
32.2802,510,517.11,504.77,12.34,517.11
32.3303,464,516.29,504.06,12.22,516.28
32.3805,512,515.47,503.36,12.11,515.47
32.4306,460,514.66,502.65,12.01,514.66
32.4807,478,513.85,501.94,11.91,513.85
32.5309,472,513.05,501.23,11.82,513.05
32.581,475,512.26,500.52,11.74,512.26
32.6312,497,511.49,499.81,11.67,511.48
32.6813,450,510.78,499.1,11.68,510.78
32.7314,506,510.21,498.4,11.82,510.22
32.7816,467,509.94,497.69,12.25,509.94
32.8317,490,510.33,496.98,13.35,510.33
32.8818,487,511.85,496.27,15.58,511.85
32.932,518,513.01,495.56,17.45,513.01
