Angle,Observed,Calculated,Background,Quartz_nb,Calcite_nb,Quartz,Calcite
29.3992,716,746.4,523.17,47.34,175.89,570.51,699.06
29.4504,741,737.2,522.55,45.76,168.89,568.31,691.44
29.5015,686,693.33,521.93,44.27,127.13,566.2,649.06
29.5527,680,644.72,521.31,42.85,80.56,564.16,601.87
29.6038,626,612.02,520.68,41.52,49.81,562.2,570.49
29.655,643,592.82,520.06,40.26,32.5,560.32,552.56
29.7062,592,581.05,519.43,39.06,22.56,558.49,541.99
29.7573,626,573.23,518.79,37.93,16.5,556.72,535.29
29.8085,643,567.57,518.16,36.86,12.55,555.02,530.71
29.8597,626,563.22,517.52,35.84,9.86,553.36,527.38
29.9108,599,559.7,516.88,34.87,7.95,551.75,524.83
29.962,587,556.73,516.24,33.94,6.55,550.18,522.79
30.0131,600,554.13,515.59,33.06,5.49,548.65,521.08
30.0643,551,551.81,514.94,32.2,4.66,547.14,519.6
30.1155,565,549.69,514.29,31.38,4.02,545.67,518.31
30.1666,577,547.72,513.64,30.58,3.5,544.22,517.14
30.2178,568,545.87,512.99,29.81,3.07,542.8,516.06
30.2689,575,544.1,512.33,29.05,2.72,541.38,515.05
30.3201,553,542.41,511.67,28.31,2.43,539.98,514.1
30.3713,582,540.79,511.01,27.59,2.19,538.6,513.2
30.4224,567,539.24,510.35,26.91,1.98,537.26,512.33
30.4736,608,537.75,509.68,26.26,1.81,535.94,511.49
30.5247,593,536.31,509.02,25.63,1.66,534.65,510.68
30.5759,601,534.91,508.35,25.04,1.53,533.39,509.88
30.6271,524,533.56,507.68,24.46,1.42,532.14,509.1
30.6782,567,532.25,507,23.91,1.33,530.91,508.33
