Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
15.5845,632,680.66,676.06,4.57,0.03,680.63,676.09
15.6347,645,679.7,675.04,4.63,0.03,679.67,675.07
15.6848,717,678.77,674.05,4.68,0.03,678.73,674.08
15.7349,653,677.88,673.1,4.74,0.03,677.84,673.13
15.7851,637,677.02,672.18,4.81,0.03,676.99,672.21
15.8352,650,676.2,671.3,4.87,0.03,676.17,671.33
15.8853,623,675.41,670.44,4.93,0.03,675.37,670.47
15.9355,644,674.66,669.63,5,0.04,674.63,669.67
15.9856,692,673.94,668.84,5.07,0.04,673.91,668.88
16.0358,656,673.26,668.08,5.14,0.04,673.22,668.12
16.0859,669,672.6,667.36,5.21,0.04,672.57,667.4
16.136,644,671.98,666.67,5.28,0.04,671.95,666.71
16.1862,635,671.4,666,5.36,0.04,671.36,666.04
16.2363,662,670.84,665.37,5.43,0.04,670.8,665.41
16.2864,658,670.31,664.77,5.51,0.04,670.28,664.81
16.3366,646,669.82,664.19,5.59,0.04,669.78,664.23
16.3867,671,669.36,663.64,5.67,0.04,669.31,663.68
16.4369,655,668.92,663.12,5.76,0.04,668.88,663.16
16.487,636,668.52,662.63,5.85,0.04,668.48,662.67
16.5371,689,668.14,662.17,5.94,0.04,668.11,662.21
16.5873,701,667.79,661.73,6.03,0.04,667.76,661.77
16.6374,681,667.47,661.31,6.12,0.04,667.43,661.35
16.6875,649,667.18,660.92,6.22,0.04,667.14,660.96
16.7377,677,666.92,660.56,6.32,0.04,666.88,660.6
16.7878,639,666.69,660.22,6.43,0.04,666.65,660.26
16.838,621,666.48,659.9,6.53,0.04,666.43,659.94
16.8881,626,666.29,659.61,6.65,0.04,666.26,659.65
16.9382,596,666.14,659.34,6.76,0.04,666.1,659.38
16.9884,666,666.01,659.09,6.88,0.04,665.97,659.13
17.0385,643,665.9,658.86,7,0.04,665.86,658.9
17.0886,646,665.82,658.66,7.12,0.04,665.78,658.7
17.1388,683,665.77,658.47,7.25,0.04,665.72,658.51
17.1889,644,665.74,658.31,7.39,0.04,665.7,658.35
17.239,661,665.73,658.16,7.53,0.04,665.69,658.2
17.2892,653,665.75,658.04,7.67,0.04,665.71,658.08
17.3393,649,665.8,657.93,7.82,0.04,665.75,657.97
17.3895,616,665.86,657.84,7.98,0.05,665.82,657.89
17.4396,616,665.96,657.77,8.14,0.05,665.91,657.82
17.4897,631,666.07,657.72,8.3,0.05,666.02,657.77
17.5399,661,666.21,657.69,8.48,0.05,666.17,657.74
17.59,649,666.37,657.67,8.65,0.05,666.32,657.72
17.6401,640,666.55,657.66,8.84,0.05,666.5,657.71
17.6903,597,666.76,657.68,9.04,0.05,666.72,657.73
17.7404,631,666.99,657.7,9.24,0.05,666.94,657.75
17.7906,607,667.25,657.75,9.45,0.05,667.2,657.8
17.8407,605,667.53,657.8,9.68,0.05,667.48,657.85
17.8908,661,667.83,657.88,9.91,0.05,667.79,657.93
17.941,595,668.16,657.96,10.15,0.05,668.11,658.01
17.9911,613,668.51,658.06,10.4,0.05,668.46,658.11
18.0412,664,668.89,658.17,10.67,0.05,668.84,658.22
18.0914,585,669.29,658.29,10.95,0.05,669.24,658.34
18.1415,587,669.72,658.42,11.24,0.05,669.66,658.47
18.1917,608,670.17,658.57,11.55,0.05,670.12,658.62
18.2418,630,670.65,658.72,11.87,0.05,670.59,658.77
18.2919,676,671.16,658.89,12.21,0.05,671.1,658.94
18.3421,653,671.7,659.07,12.57,0.06,671.64,659.13
18.3922,643,672.27,659.25,12.96,0.06,672.21,659.31
18.4423,674,672.87,659.45,13.36,0.06,672.81,659.51
18.4925,633,673.5,659.66,13.79,0.06,673.45,659.72
18.5426,630,674.17,659.87,14.24,0.06,674.11,659.93
18.5928,603,674.88,660.09,14.73,0.06,674.82,660.15
18.6429,633,675.79,660.32,15.41,0.06,675.73,660.38
18.693,625,677.77,660.56,17.16,0.06,677.72,660.62
18.7432,672,682.83,660.8,21.97,0.06,682.77,660.86
18.7933,729,693.42,661.05,32.31,0.06,693.36,661.11
18.8434,712,698.25,661.31,36.88,0.06,698.19,661.37
18.8936,684,691.45,661.57,29.82,0.06,691.39,661.63
18.9437,681,687.24,661.84,25.33,0.06,687.17,661.9
18.9938,637,685.75,662.12,23.57,0.06,685.69,662.18
19.044,675,685.5,662.4,23.03,0.07,685.43,662.47
19.0941,695,685.87,662.68,23.12,0.07,685.8,662.75
19.1443,669,686.6,662.97,23.57,0.07,686.54,663.04
19.1944,757,687.59,663.26,24.26,0.07,687.52,663.33
19.2445,807,688.77,663.56,25.15,0.07,688.71,663.63
19.2947,783,690.14,663.86,26.21,0.07,690.07,663.93
19.3448,745,691.67,664.16,27.44,0.07,691.6,664.23
19.3949,734,693.38,664.46,28.84,0.07,693.3,664.53
19.4451,826,695.25,664.77,30.4,0.07,695.17,664.84
19.4952,810,697.33,665.08,32.18,0.07,697.26,665.15
19.5454,762,699.64,665.39,34.17,0.08,699.56,665.47
19.5955,803,702.21,665.71,36.42,0.08,702.13,665.79
19.6456,824,705.06,666.02,38.96,0.08,704.98,666.1
19.6958,831,708.25,666.34,41.83,0.08,708.17,666.42
19.7459,890,711.84,666.65,45.1,0.08,711.75,666.73
19.796,893,715.9,666.97,48.84,0.08,715.81,667.05
19.8462,837,720.52,667.29,53.15,0.08,720.44,667.37
19.8963,886,725.83,667.61,58.14,0.09,725.75,667.7
19.9465,972,731.98,667.92,63.97,0.09,731.89,668.01
19.9966,987,739.16,668.24,70.83,0.09,739.07,668.33
20.0467,946,747.64,668.55,78.99,0.09,747.54,668.64
20.0969,970,757.66,668.87,88.7,0.09,757.57,668.96
20.147,1004,769.89,669.18,100.62,0.09,769.8,669.27
20.1971,1034,784.92,669.49,115.33,0.1,784.82,669.59
20.2473,1047,803.7,669.8,133.8,0.1,803.6,669.9
20.2974,1055,827.62,670.11,157.41,0.1,827.52,670.21
20.3476,1102,858.8,670.42,188.28,0.1,858.7,670.52
20.3977,1147,900.55,670.72,229.72,0.1,900.44,670.82
20.4478,1237,958.32,671.02,287.19,0.11,958.21,671.13
20.498,1247,1041.55,671.32,370.12,0.11,1041.44,671.43
20.5481,1456,1167.68,671.62,495.96,0.11,1167.58,671.73
20.5982,1722,1371.47,671.91,699.45,0.11,1371.36,672.02
