Angle,Observed,Calculated,Background,Quartz_nb,Dolomite_nb,Quartz (SiO2),Dolomite (CaMg(CO3)2)
22.5436,646,646.6,612.06,34.53,0.02,646.59,612.08
22.5948,681,646.27,612.23,34.02,0.01,646.25,612.24
22.6459,612,646.03,612.4,33.62,0.01,646.02,612.41
22.6971,652,645.88,612.56,33.31,0.01,645.87,612.57
22.7483,647,645.81,612.72,33.08,0.01,645.8,612.73
22.7994,674,645.82,612.88,32.93,0.01,645.81,612.89
22.8506,628,645.9,613.02,32.86,0.01,645.88,613.03
22.9018,645,646.04,613.17,32.87,0.01,646.04,613.18
22.9529,616,646.24,613.3,32.93,0.01,646.23,613.31
23.0041,619,646.51,613.43,33.07,0.01,646.5,613.44
23.0552,641,646.83,613.56,33.27,0.01,646.83,613.57
23.1064,623,647.21,613.68,33.53,0.01,647.21,613.69
23.1576,610,647.65,613.79,33.85,0.01,647.64,613.8
23.2087,634,648.13,613.9,34.23,0.01,648.13,613.91
23.2599,588,648.68,614,34.67,0.01,648.67,614.01
23.311,623,649.27,614.09,35.17,0.01,649.26,614.1
23.3622,621,649.92,614.18,35.73,0.01,649.91,614.19
23.4134,619,650.63,614.26,36.36,0.01,650.62,614.27
23.4645,656,651.39,614.34,37.04,0.01,651.38,614.35
23.5157,617,652.21,614.41,37.79,0.01,652.2,614.42
23.5668,627,653.08,614.47,38.6,0.01,653.07,614.48
23.618,639,654.02,614.52,39.48,0.01,654,614.53
23.6692,612,655.01,614.57,40.43,0.02,655,614.59
23.7203,613,656.07,614.61,41.44,0.02,656.05,614.63
23.7715,645,657.2,614.65,42.53,0.02,657.18,614.67
23.8227,603,658.83,614.67,44.12,0.03,658.79,614.7
23.8738,612,663.18,614.69,48.44,0.04,663.13,614.73
23.925,620,675.56,614.71,60.8,0.06,675.51,614.77
23.9761,735,714.56,614.71,99.76,0.09,714.47,614.8
24.0273,766,795.25,614.71,180.37,0.17,795.08,614.88
24.0785,775,780.41,614.7,165.32,0.39,780.02,615.09
24.1296,639,725.47,614.69,109.58,1.21,724.27,615.9
24.1808,664,705.15,614.66,85.31,5.17,699.97,619.83
24.2319,652,692.93,614.63,75.21,3.09,689.84,617.72
24.2831,617,686.4,614.6,70.79,1.01,685.39,615.61
24.3343,647,683.88,614.55,69.07,0.26,683.62,614.81
24.3854,638,683.45,614.5,68.83,0.12,683.33,614.62
24.4366,609,684.05,614.44,69.54,0.07,683.98,614.51
24.4877,623,685.34,614.37,70.91,0.05,685.28,614.42
24.5389,641,687.15,614.3,72.82,0.04,687.12,614.34
24.5901,594,689.39,614.22,75.15,0.03,689.37,614.25
24.6412,634,692.05,614.13,77.9,0.02,692.03,614.15
24.6924,618,695.1,614.03,81.05,0.02,695.08,614.05
24.7435,613,698.54,613.92,84.6,0.02,698.52,613.94
24.7947,611,702.37,613.81,88.55,0.01,702.36,613.82
24.8459,586,706.63,613.69,92.93,0.01,706.62,613.7
